Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Anthony Kay*,28,TOT,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarred Kelenic*,23,SEA,AL,105,416,372,44,94,25,2,11,49,13,5,41,132,6,1,0,2,4
Carson Kelly,28,TOT,MLB,50,151,136,13,28,5,0,2,13,1,0,14,40,2,0,0,1,0
Tony Kemp*,31,OAK,AL,124,419,359,42,75,13,3,5,27,15,4,44,40,9,6,7,3,0
Buddy Kennedy,24,ARI,NL,10,29,24,1,4,1,0,0,1,0,0,4,6,0,1,0,0,0
Max Kepler*,30,MIN,AL,130,491,438,72,114,22,2,24,66,1,1,45,106,9,4,0,4,0
Grae Kessinger,25,HOU,AL,26,45,40,3,8,2,0,1,1,0,1,5,12,0,0,0,0,0
Carter Kieboom,25,WSN,NL,27,94,87,12,18,2,0,4,11,0,0,6,27,2,1,0,0,0
Kevin Kiermaier*,33,TOR,AL,129,408,370,58,98,21,6,8,36,14,1,29,86,9,4,1,4,0
Ha-Seong Kim,27,SDP,NL,152,626,538,84,140,23,0,17,60,38,9,75,124,7,3,5,5,1
Isiah Kiner-Falefa,28,NYY,AL,113,361,326,39,79,12,1,6,37,14,5,28,70,12,3,1,3,0
John King*,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Kirilloff*,25,MIN,AL,88,319,281,35,76,14,1,11,41,1,0,28,80,2,7,0,3,1
Alejandro Kirk,24,TOR,AL,123,422,372,34,93,16,0,8,43,0,0,42,45,21,6,0,2,1
Heston Kjerstad*,24,BAL,AL,13,33,30,3,7,1,0,2,3,0,0,2,10,0,0,0,0,0
Andrew Knizner,28,STL,NL,70,241,224,30,54,11,0,10,31,2,0,12,62,8,3,1,1,0
Taylor Kohlwey*,28,SDP,NL,5,13,13,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
Mark Kolozsvary,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Kreidler,25,DET,AL,11,18,18,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0
Steven Kwan*,25,CLE,AL,158,718,638,93,171,36,7,5,54,21,3,70,75,9,3,1,6,2
Tommy La Stella*,34,SEA,AL,12,24,21,2,4,1,0,0,2,0,0,3,5,0,0,0,0,0
Jake Lamb*,32,LAA,AL,18,54,51,7,11,1,0,2,5,0,0,3,15,1,0,0,0,0
Alex Lange,27,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shea Langeliers,25,OAK,AL,135,490,448,52,92,19,4,22,63,3,2,34,143,10,5,1,2,2
Trevor Larnach*,26,MIN,AL,58,212,183,26,39,7,3,8,40,1,1,27,72,2,0,0,2,1
Ramón Laureano,28,TOT,AL,105,404,361,46,81,18,4,9,35,12,1,33,114,9,9,0,1,0
Derek Law,32,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Lawlar,20,ARI,NL,14,34,31,2,4,0,0,0,0,1,1,2,11,0,1,0,0,0
Justin Lawrence,28,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korey Lee,24,CHW,AL,24,70,65,4,5,1,0,1,3,0,0,5,20,0,0,0,0,0
Mark Leiter Jr.,32,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ LeMahieu,34,NYY,AL,136,562,497,55,121,22,3,15,44,2,2,60,125,14,3,0,2,2
Sandy León#,34,TEX,AL,21,44,41,4,6,2,0,0,4,0,0,1,20,2,1,1,0,0
Josh Lester*,28,BAL,AL,11,23,22,0,4,0,0,0,4,0,0,1,7,1,0,0,0,0
Kyle Lewis,27,ARI,NL,16,54,51,2,8,2,0,1,2,0,0,3,21,0,0,0,0,0
Royce Lewis,24,MIN,AL,58,239,217,36,67,7,0,15,52,6,1,20,55,5,2,0,0,0
Francisco Lindor#,29,NYM,NL,160,687,602,108,153,33,2,31,98,31,4,66,137,8,12,0,7,1
Andre Lipcius,25,DET,AL,13,38,35,3,10,1,0,1,4,0,0,3,8,1,0,0,0,0
Luke Little*,22,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Locastro,30,NYM,NL,43,67,56,13,13,3,0,2,3,6,0,3,22,0,6,2,0,0
Nick Loftin,24,KCR,AL,19,68,62,10,20,5,1,0,10,2,0,4,12,0,1,0,1,0
Evan Longoria,37,ARI,NL,74,237,211,25,47,9,0,11,28,0,0,23,73,8,0,0,3,0
Alejo Lopez#,27,CIN,NL,1,2,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Irving Lopez*,28,STL,NL,5,12,11,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0
Nicky Lopez*,28,TOT,MLB,93,262,225,32,52,8,3,1,25,6,2,26,40,3,6,4,1,0
Brandon Lowe*,28,TBR,AL,109,436,377,58,87,15,1,21,68,7,0,50,119,8,6,0,3,0
Josh Lowe*,25,TBR,AL,135,501,466,71,136,33,2,20,83,32,3,31,124,6,1,0,3,2
Nathaniel Lowe*,27,TEX,AL,161,724,623,89,163,38,3,17,82,1,0,93,165,22,5,0,3,2
Marco Luciano,21,SFG,NL,14,45,39,4,9,3,0,0,0,1,0,6,17,0,0,0,0,0
Nathan Lukes*,28,TOR,AL,29,31,26,4,5,1,1,0,2,0,0,4,9,1,0,0,1,0
Jordan Luplow,29,TOT,AL,39,90,77,11,16,3,0,2,5,2,0,12,27,1,1,0,0,1
Manny Machado,30,SDP,NL,138,601,543,75,140,21,0,30,91,3,2,50,109,20,2,0,6,1
Nick Madrigal,26,CHC,NL,92,294,270,34,71,16,1,2,28,10,2,10,24,3,9,5,0,0
Bligh Madris*,27,HOU,AL,12,30,26,4,4,1,0,0,0,0,0,4,7,0,0,0,0,0
Drew Maggi,34,PIT,NL,3,6,6,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Luke Maile,32,CIN,NL,74,199,179,17,42,10,0,6,25,2,1,14,49,8,5,1,0,0
Martín Maldonado,36,HOU,AL,116,407,362,33,69,12,0,15,36,0,0,30,139,10,3,12,0,0
Trey Mancini,31,CHC,NL,79,263,235,31,55,12,0,4,28,0,0,21,78,5,2,0,3,1
Tucupita Marcano*,23,PIT,NL,75,220,202,16,47,12,2,3,18,5,2,10,35,2,3,3,2,0
Manuel Margot,28,TBR,AL,99,336,311,39,82,21,1,4,38,9,3,18,55,6,4,0,3,0
Jake Marisnick,32,TOT,MLB,46,83,76,10,18,3,2,2,10,2,3,3,21,4,2,1,1,0
Cade Marlowe*,26,SEA,AL,34,100,88,14,21,3,2,3,11,4,2,12,33,1,0,0,0,0
Brandon Marsh*,25,PHI,NL,133,472,404,58,112,25,6,12,60,10,2,59,144,4,4,1,4,2
Ketel Marte#,29,ARI,NL,150,650,569,94,157,26,9,25,82,8,2,71,109,16,5,0,5,2
Noelvi Marte,21,CIN,NL,35,123,114,15,36,7,0,3,15,6,2,8,25,1,1,0,0,0
Starling Marte,34,NYM,NL,86,341,315,38,78,7,1,5,28,24,4,16,69,8,8,2,0,1
Chris Martin,37,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.D. Martinez,35,LAD,NL,113,479,432,61,117,27,2,33,103,1,0,34,149,11,2,0,9,1
J.P. Martínez*,27,TEX,AL,17,44,40,7,9,1,0,1,4,0,0,2,16,0,0,0,2,0
Seth Martinez,28,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Martini*,33,CIN,NL,29,79,72,10,19,3,1,6,16,0,0,5,15,1,2,0,0,0
Michael Massey*,25,KCR,AL,129,461,428,42,98,18,1,15,55,6,2,24,99,3,4,1,4,0
Miles Mastrobuoni*,27,CHC,NL,60,149,133,24,32,5,0,1,5,13,1,13,32,1,0,3,0,0
Jorge Mateo,28,BAL,AL,116,350,318,58,69,14,2,7,34,32,5,22,82,8,1,5,3,0
Mark Mathias,28,TOT,NL,27,72,62,6,14,2,0,0,6,3,0,10,15,4,0,0,0,0
Nick Maton*,26,DET,AL,93,293,249,29,43,9,0,8,32,1,2,38,73,4,3,1,2,1
Phil Maton,30,HOU,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Matos,21,SFG,NL,76,253,228,24,57,13,1,2,14,3,0,20,33,3,3,2,0,0
Ronny Mauricio#,22,NYM,NL,26,108,101,11,25,4,0,2,9,7,0,7,31,2,0,0,0,0
Tim Mayza*,31,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James McArthur,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James McCann,33,BAL,AL,69,226,207,25,46,14,0,6,26,3,1,9,57,5,5,3,2,0
Jake McCarthy*,25,ARI,NL,99,312,276,37,67,7,5,2,16,26,4,26,62,4,5,4,1,0
Chas McCormick,28,HOU,AL,115,457,403,59,110,17,2,22,70,19,6,40,117,3,11,1,2,0
Mason McCoy,28,TOR,AL,6,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Andrew McCutchen,36,PIT,NL,112,473,390,55,100,19,0,12,43,11,3,75,100,8,4,0,4,1
Scott McGough,33,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reese McGuire*,28,BOS,AL,72,206,187,15,50,12,1,1,16,2,1,11,53,2,1,2,1,0
Ryan McKenna,26,BAL,AL,88,139,122,23,31,7,0,2,18,5,0,9,40,4,3,3,2,0
Billy McKinney*,28,NYY,AL,48,147,128,19,29,3,1,6,14,1,0,17,39,1,1,0,1,1
Zach McKinstry*,28,DET,AL,148,518,464,60,107,21,4,9,35,16,6,44,113,3,5,2,3,0
Matt McLain,23,CIN,NL,89,403,365,65,106,23,4,16,50,14,5,31,115,5,7,0,0,0
Ryan McMahon*,28,COL,NL,152,627,555,80,133,31,3,23,70,5,5,68,198,19,1,0,3,2
Jeff McNeil*,31,NYM,NL,156,648,585,75,158,25,4,10,55,10,0,39,65,5,18,3,3,0
Curtis Mead,22,TBR,AL,24,92,83,12,21,3,1,1,5,0,0,7,21,3,2,0,0,0
Austin Meadows*,28,DET,AL,6,21,21,0,5,1,0,0,2,0,0,0,3,0,0,0,0,0
Parker Meadows*,23,DET,AL,37,145,125,19,29,4,2,3,13,8,1,17,37,0,2,0,1,1
Wade Meckler*,23,SFG,NL,20,64,56,6,13,1,0,0,4,0,0,6,25,0,2,0,0,0
Francisco Mejía#,27,TBR,AL,50,160,150,22,34,11,0,5,19,0,1,6,38,2,1,1,2,0
MJ Melendez*,24,KCR,AL,148,602,533,65,125,29,5,16,56,6,4,62,170,4,3,0,4,2
Danny Mendick,29,NYM,NL,33,69,65,4,12,3,0,1,4,1,0,4,15,1,0,0,0,0
Joey Meneses,31,WSN,NL,154,657,611,71,168,36,1,13,89,0,0,38,130,15,5,0,3,0
Óscar Mercado,28,STL,NL,20,32,31,3,9,3,0,0,5,2,1,1,4,0,0,0,0,0
Whit Merrifield,34,TOR,AL,145,592,547,66,149,27,0,11,67,26,10,36,101,15,3,0,6,2
Julian Merryweather,31,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mervis*,25,CHC,NL,27,99,90,8,15,2,0,3,11,0,0,8,32,1,1,0,0,0
Jake Meyers,27,HOU,AL,112,341,309,42,70,16,1,10,33,5,2,26,88,2,5,0,1,0
Drew Millas#,25,WSN,NL,11,33,28,1,8,2,0,1,6,0,0,4,5,2,0,1,0,0
Brad Miller*,33,TEX,AL,27,67,56,8,12,4,0,1,6,0,0,10,11,1,0,0,1,0
Owen Miller,26,MIL,NL,90,314,291,29,76,17,0,5,27,13,2,17,61,6,2,0,4,1
Shelby Miller,32,LAD,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Miranda,25,MIN,AL,40,152,142,12,30,4,0,3,13,0,0,9,24,8,1,0,0,0
Calvin Mitchell*,24,PIT,NL,2,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Garrett Mitchell*,24,MIL,NL,19,73,65,10,16,2,1,3,7,1,1,7,26,0,0,0,1,0
Andruw Monasterio,26,MIL,NL,92,315,282,38,73,14,1,3,27,7,2,28,66,9,3,0,2,0
Yoán Moncada#,28,CHW,AL,92,357,334,39,87,20,1,11,40,1,0,20,107,6,2,0,1,0
Mickey Moniak*,25,LAA,AL,85,323,311,35,87,21,2,14,45,6,3,9,113,4,3,0,0,1
Elehuris Montero,24,COL,NL,85,307,284,40,69,15,2,11,39,0,0,15,111,5,5,0,3,0
Rafael Montero,32,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coco Montes,26,COL,NL,18,41,38,3,7,2,0,1,3,0,0,2,12,0,1,0,0,0
Dylan Moore,30,SEA,AL,67,165,145,18,30,9,1,7,19,7,3,16,56,1,4,0,0,0
Jovani Moran*,26,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Morel,24,CHC,NL,107,429,388,62,96,17,3,26,70,6,2,36,133,7,2,1,2,0
Gabriel Moreno,23,ARI,NL,111,380,341,33,97,19,1,7,50,6,2,29,75,17,3,0,7,0
Taylor Motter,33,STL,NL,29,82,76,3,13,3,0,0,2,0,0,5,31,0,1,0,0,0
Ryan Mountcastle,26,BAL,AL,115,470,423,64,114,21,1,18,68,3,1,37,107,13,3,0,7,1
Mike Moustakas*,34,TOT,MLB,112,386,352,43,87,15,0,12,48,0,0,23,95,7,3,0,8,1
Cedric Mullins*,28,BAL,AL,116,455,404,51,94,23,3,15,74,19,3,43,101,6,1,3,4,1
Max Muncy*,32,LAD,NL,135,579,482,95,102,17,1,36,105,1,2,85,153,8,6,0,6,4
Andrés Muñoz,24,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn Murfee,29,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Murphy,28,ATL,NL,108,438,370,65,93,21,0,21,68,0,0,49,98,18,18,0,1,0
Tom Murphy,32,SEA,AL,47,159,145,19,42,12,0,8,17,0,0,10,44,4,1,0,2,0
Dane Myers,27,MIA,NL,22,70,67,9,18,3,0,1,9,1,1,2,19,1,0,0,1,0
Wil Myers,32,CIN,NL,37,141,127,11,24,3,0,3,12,2,1,12,48,3,0,1,1,0
James Naile,30,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Naquin*,32,CHW,AL,5,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Andrew Nardi*,24,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Narváez*,31,NYM,NL,49,146,128,12,27,5,0,2,7,0,0,14,27,1,0,1,3,0
Bo Naylor*,23,CLE,AL,67,230,198,33,47,13,0,11,32,5,0,30,53,2,1,0,1,1
Josh Naylor*,26,CLE,AL,121,495,452,52,139,31,0,17,97,10,3,33,68,11,3,0,7,9
Kyle Nelson*,26,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hector Neris,34,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Neto,22,LAA,AL,84,329,289,38,65,17,0,9,34,5,1,20,77,5,16,1,3,0
Tyler Nevin,26,DET,AL,41,111,95,11,19,3,1,2,10,0,1,12,25,1,3,0,1,0
Kevin Newman,29,CIN,NL,74,253,225,28,57,16,0,3,28,8,1,17,34,7,4,2,5,0
Tomás Nido,29,NYM,NL,22,61,56,5,7,0,0,0,1,0,0,2,18,2,0,2,1,0
Brandon Nimmo*,30,NYM,NL,152,682,592,89,162,30,6,24,68,3,3,74,146,6,11,1,4,0
Ryan Noda*,27,OAK,AL,128,495,406,63,93,22,1,16,54,3,1,77,170,4,10,0,2,1
Austin Nola,33,SDP,NL,52,154,130,9,19,3,0,1,8,0,0,18,31,5,2,4,0,0
Lars Nootbaar*,25,STL,NL,117,503,426,74,111,23,1,14,46,11,1,72,99,7,1,1,3,2
Ryan O'Hearn*,29,BAL,AL,112,368,346,48,100,22,1,14,60,5,1,15,82,2,3,1,3,2
Logan O'Hoppe,23,LAA,AL,51,199,182,23,43,6,0,14,29,0,1,14,48,4,2,0,1,0
Brian O'Keefe,29,SEA,AL,8,21,19,0,2,2,0,0,2,0,0,2,7,2,0,0,0,0
Tyler O'Neill,28,STL,NL,72,266,238,27,55,14,0,9,21,5,0,28,67,5,0,0,0,0
Rougned Odor*,29,SDP,NL,59,157,138,21,28,9,0,4,18,2,1,17,37,2,2,0,0,0
Shohei Ohtani*,28,LAA,AL,135,599,497,102,151,26,8,44,95,20,6,91,143,9,3,0,3,21
Chris Okey,28,LAA,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Edward Olivares,27,KCR,AL,107,385,354,47,93,23,4,12,36,11,5,22,64,7,7,0,2,1
Matt Olson*,29,ATL,NL,162,720,608,127,172,27,3,54,139,1,0,104,167,13,4,0,4,8
Jonathan Ornelas,23,TEX,AL,8,8,7,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0
Rafael Ortega*,32,NYM,NL,47,136,114,16,25,3,0,1,8,6,1,20,33,0,1,1,0,0
Joey Ortiz,24,BAL,AL,15,34,33,4,7,1,0,0,4,0,0,0,9,2,0,0,1,0
James Outman*,26,LAD,NL,151,567,483,86,120,16,3,23,70,16,3,68,181,4,12,0,4,1
Chris Owings,31,PIT,NL,10,25,25,0,4,0,0,0,0,0,0,0,12,1,0,0,0,0
Marcell Ozuna,32,ATL,NL,144,592,530,84,145,29,1,40,100,0,0,57,134,9,3,0,2,1
Cristian Pache,24,PHI,NL,48,95,84,12,20,7,1,2,11,2,3,10,27,1,0,1,0,0
Kevin Padlo,26,LAA,AL,3,8,8,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Emilio Pagán*,32,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Palacios*,27,PIT,NL,91,264,247,26,59,9,2,10,40,5,0,12,56,7,2,2,1,0
Richie Palacios*,26,STL,NL,32,102,93,9,24,6,0,6,16,2,0,6,11,1,1,1,1,0
Isaac Paredes,24,TBR,AL,143,571,492,71,123,24,0,31,98,1,0,58,104,11,20,0,1,0
Kyren Paris,21,LAA,AL,15,46,40,4,4,0,0,0,1,3,0,4,17,0,1,1,0,0
Vinnie Pasquantino*,25,KCR,AL,61,260,231,24,57,17,0,9,26,0,0,25,31,7,2,0,1,2
Joc Pederson*,31,SFG,NL,121,425,358,59,84,14,3,15,51,0,0,57,89,12,7,0,3,6
Liover Peguero,22,PIT,NL,59,213,198,21,47,4,1,7,26,6,2,11,67,6,1,2,1,0
Jeremy Peña,25,HOU,AL,150,634,577,81,152,32,3,10,52,13,9,43,129,11,9,1,1,1
David Peralta*,35,LAD,NL,133,422,394,47,102,25,1,7,55,4,1,20,72,8,2,0,6,1
Oswald Peraza,23,NYY,AL,52,191,173,15,33,8,0,2,14,4,3,13,50,1,5,0,0,0
Geraldo Perdomo#,23,ARI,NL,144,495,407,71,100,20,4,6,47,16,4,64,86,2,6,14,4,1
Everson Pereira,22,NYY,AL,27,103,93,6,14,4,0,0,10,4,0,8,40,1,2,0,0,0
Carlos Pérez,32,OAK,AL,66,189,168,17,38,4,0,6,20,0,0,13,40,4,4,1,3,0
Carlos Pérez,26,CHW,AL,27,53,49,5,10,4,0,1,3,0,0,4,11,2,0,0,0,0
Cionel Pérez,27,BAL,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Perez*,30,NYM,NL,3,8,8,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0
Roberto Pérez,34,SFG,NL,5,17,15,0,2,0,0,0,1,0,0,2,6,0,0,0,0,0
Salvador Perez,33,KCR,AL,140,580,538,59,137,21,0,23,80,0,0,19,135,11,13,0,8,6
Blake Perkins#,26,MIL,NL,67,168,143,28,31,7,0,4,20,5,2,23,46,3,0,2,0,0
Jace Peterson*,33,TOT,MLB,133,430,374,35,79,10,4,6,37,15,2,47,101,7,4,2,3,2
Tommy Pham,35,TOT,NL,129,481,426,55,109,27,3,16,68,22,3,47,106,11,2,0,6,1
Brett Phillips*,29,LAA,AL,39,71,63,9,11,1,0,3,6,3,1,8,36,0,0,0,0,0
Kevin Pillar,34,ATL,NL,81,206,197,29,45,10,0,9,32,4,1,6,50,2,0,0,3,0
Manny Piña,36,OAK,AL,4,12,12,1,3,0,0,1,1,0,0,0,3,1,0,0,0,0
René Pinto,26,TBR,AL,38,105,103,10,26,3,0,6,16,0,0,2,34,2,0,0,0,0
Nick Pivetta,30,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Polanco#,29,MIN,AL,80,343,302,38,77,18,0,14,48,4,0,36,88,2,2,0,3,0
AJ Pollock,35,TOT,MLB,54,144,133,15,22,4,0,5,15,0,1,9,32,1,0,0,2,0
Logan Porter,27,KCR,AL,11,38,31,4,6,1,0,1,3,0,0,5,11,2,1,1,0,0
Nick Pratto*,24,KCR,AL,95,345,306,33,71,16,0,7,35,1,1,29,138,3,6,0,4,0
Ryan Pressly,34,HOU,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurickson Profar#,30,TOT,NL,125,521,459,55,111,27,2,9,46,1,0,50,90,11,6,0,5,0
Juniel Querecuto#,30,STL,NL,9,21,20,2,2,1,0,0,0,0,0,1,6,0,0,0,0,0
Ceddanne Rafaela,22,BOS,AL,28,89,83,11,20,6,0,2,5,3,1,4,28,2,1,0,1,0
Cole Ragans*,25,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cal Raleigh#,26,SEA,AL,145,569,513,78,119,23,1,30,75,0,0,54,158,6,1,0,1,1
Brooks Raley*,35,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Raley*,28,TBR,AL,118,406,357,56,89,23,3,19,49,14,3,28,128,2,18,1,2,0
Harold Ramírez,28,TBR,AL,122,434,400,58,125,19,2,12,68,5,3,22,79,7,6,0,6,0
José Ramírez#,30,CLE,AL,156,691,611,87,172,36,5,24,80,28,6,73,73,8,1,0,6,22
Heliot Ramos,23,SFG,NL,25,60,56,5,10,4,0,1,2,0,0,4,20,1,0,0,0,0
Henry Ramos#,31,CIN,NL,23,86,74,9,18,3,1,0,5,2,1,11,21,2,1,0,0,0
J.T. Realmuto,32,PHI,NL,135,540,489,70,123,28,5,20,63,16,5,35,138,10,9,0,5,3
Rob Refsnyder,32,BOS,AL,89,243,202,31,50,9,1,1,28,7,2,33,47,8,5,1,1,0
Zach Remillard,29,CHW,AL,54,160,147,16,37,7,0,1,18,4,3,8,48,3,1,4,0,1
Anthony Rendon,33,LAA,AL,43,183,148,23,35,6,0,2,22,2,0,25,27,6,6,0,4,0
Hunter Renfroe,31,TOT,MLB,140,548,498,60,116,31,0,20,60,0,0,44,125,15,3,0,3,0
Luis Rengifo#,26,LAA,AL,126,445,394,55,104,15,4,16,51,6,4,41,82,3,6,0,4,0
Franmil Reyes,27,KCR,AL,19,65,59,5,11,0,0,2,7,0,0,4,24,3,0,0,2,0
Pablo Reyes,29,BOS,AL,64,185,167,27,48,9,0,2,20,7,2,14,21,3,0,2,2,0
Bryan Reynolds#,28,PIT,NL,145,640,574,85,151,31,5,24,84,12,1,53,138,13,7,0,6,2
Matt Reynolds,32,CIN,NL,2,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
Austin Riley,26,ATL,NL,159,715,636,117,179,32,3,37,97,3,1,59,172,18,9,0,11,4
Edwin Rios*,29,CHC,NL,18,34,28,3,2,1,0,1,2,0,0,5,16,0,1,0,0,0
Alfonso Rivas*,26,TOT,NL,48,123,109,8,25,10,1,3,15,1,0,9,36,1,3,1,1,0
Emmanuel Rivera,27,ARI,NL,86,283,257,32,67,13,0,4,29,1,0,22,56,9,0,0,4,0
Anthony Rizzo*,33,NYY,AL,99,421,373,45,91,14,0,12,41,0,3,35,97,10,12,0,1,1
Luis Robert Jr.,25,CHW,AL,145,595,546,90,144,36,1,38,80,20,4,30,172,10,12,0,2,5
Victor Robles,26,WSN,NL,36,126,107,15,32,5,1,0,8,8,1,11,18,3,4,4,0,0
Brayan Rocchio#,22,CLE,AL,23,86,81,9,20,6,0,0,8,0,0,4,27,4,0,0,1,0
Brendan Rodgers,26,COL,NL,46,192,178,21,46,9,1,4,20,0,0,11,41,6,3,0,0,0
Endy Rodríguez#,23,PIT,NL,57,204,186,27,41,7,2,3,13,0,0,17,49,3,0,0,1,0
José Rodriguez,22,CHW,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Rodríguez,22,SEA,AL,155,714,654,102,180,37,2,32,103,37,10,47,175,14,11,0,2,6
Jake Rogers,28,DET,AL,107,365,331,47,73,11,0,21,49,1,1,28,118,6,3,1,2,0
Taylor Rogers*,32,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Rogers,32,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johan Rojas,22,PHI,NL,59,164,149,24,45,9,2,2,23,14,1,5,42,1,4,6,0,0
Josh Rojas*,29,TOT,MLB,105,350,314,47,77,17,0,4,40,12,0,27,81,3,1,2,4,0
Miguel Rojas,34,LAD,NL,124,423,385,49,91,16,1,5,31,8,3,26,48,12,5,2,5,0
Jordan Romano,30,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoJo Romero*,26,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Rooker,28,OAK,AL,137,526,463,61,114,20,1,30,69,4,0,49,172,11,10,0,4,1
Ben Rortvedt*,25,NYY,AL,32,79,68,6,8,1,0,2,4,0,0,11,19,1,0,0,0,0
Amed Rosario,27,TOT,MLB,142,545,510,70,134,25,8,6,58,15,2,29,99,15,3,0,3,0
Eddie Rosario*,31,ATL,NL,142,516,478,64,122,24,3,21,74,3,4,34,122,13,1,1,2,1
Eguy Rosario,23,SDP,NL,11,37,36,6,9,1,1,2,6,0,0,1,12,1,0,0,0,0
Michael Rucker,29,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darin Ruf,36,TOT,NL,20,57,49,3,11,3,0,0,3,0,0,8,16,0,0,0,0,0
Esteury Ruiz,24,OAK,AL,132,497,449,47,114,24,1,5,47,67,13,20,99,7,16,4,1,1
José Ruiz,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keibert Ruiz#,24,WSN,NL,136,562,523,55,136,24,0,18,67,1,1,31,58,13,6,0,2,1
Blake Rutherford*,26,WSN,NL,16,36,35,4,6,0,0,0,2,0,0,1,10,1,0,0,0,0
Adley Rutschman#,25,BAL,AL,154,687,588,84,163,31,1,20,80,1,2,92,101,14,2,0,5,6
Blake Sabol*,25,SFG,NL,110,344,310,36,73,10,0,13,44,4,2,24,117,4,6,2,2,0
César Salazar*,27,HOU,AL,13,19,18,1,2,0,0,0,0,0,0,1,6,1,0,0,0,0
Gary Sánchez,30,TOT,NL,75,267,240,33,52,9,0,19,47,0,0,21,67,3,4,0,2,0
Jesús Sánchez*,25,MIA,NL,125,402,360,43,91,23,3,14,52,3,1,38,107,12,2,1,1,1
Cole Sands,25,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
