Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Jake Cronenworth*,29,SDP,NL,127,522,458,54,105,24,7,10,48,6,1,46,97,8,11,1,5,2
Tyler Cropley,27,KCR,AL,2,7,6,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0
Pete Crow-Armstrong*,21,CHC,NL,13,19,14,3,0,0,0,0,1,2,2,3,7,0,0,2,0,0
Nelson Cruz,42,SDP,NL,49,152,143,9,35,5,1,5,23,1,0,6,46,2,2,0,1,1
Oneil Cruz*,24,PIT,NL,9,40,32,7,8,1,0,1,4,3,0,7,8,0,0,0,1,0
Charlie Culberson,34,ATL,NL,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis d'Arnaud,34,ATL,NL,74,292,267,31,60,13,0,11,39,0,0,21,67,6,3,0,1,0
David Dahl*,29,SDP,NL,4,9,9,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0
Bobby Dalbec,28,BOS,AL,21,53,49,6,10,2,0,1,1,1,0,4,28,0,0,0,0,0
Henry Davis,23,PIT,NL,62,255,225,27,48,10,0,7,24,3,5,25,69,3,4,0,1,2
J.D. Davis,30,SFG,NL,144,546,480,61,119,23,1,18,69,1,0,52,152,16,6,0,6,0
Jonathan Davis,31,MIA,NL,34,104,90,22,22,4,1,2,10,1,2,7,29,1,2,2,2,0
Yonathan Daza,29,COL,NL,24,80,74,8,20,6,0,0,7,1,0,3,13,5,1,1,1,0
Bryan De La Cruz,26,MIA,NL,153,626,579,60,149,32,0,19,78,4,1,40,142,18,1,0,5,0
Elly De La Cruz#,21,CIN,NL,98,427,388,67,91,15,7,13,44,35,8,35,144,6,2,1,1,3
Paul DeJong,29,TOT,MLB,112,400,372,41,77,13,0,14,38,4,4,21,121,10,5,0,2,0
Jason Delay,28,PIT,NL,70,187,167,20,42,11,1,1,18,0,0,14,44,5,3,2,1,0
Jonny Deluca,24,LAD,NL,24,45,42,5,11,1,0,2,6,1,0,3,8,0,0,0,0,0
Rafael Devers*,26,BOS,AL,153,656,580,90,157,34,0,33,100,5,1,62,126,15,11,0,3,10
Aledmys Díaz,32,OAK,AL,109,344,315,25,72,20,1,4,24,1,0,17,66,14,7,1,4,2
Alexis Díaz,26,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elías Díaz,32,COL,NL,141,526,486,48,130,25,1,14,72,1,0,34,118,12,2,0,4,0
Isan Díaz*,27,TOT,MLB,8,26,24,0,1,0,0,0,1,0,0,2,9,0,0,0,0,0
Jordan Diaz,22,OAK,AL,90,293,272,20,60,9,0,10,27,0,1,17,69,10,3,0,1,0
Yainer Diaz,24,HOU,AL,104,377,355,51,100,22,0,23,60,0,0,11,74,12,5,0,6,0
Yandy Díaz,31,TBR,AL,137,600,525,95,173,35,0,22,78,0,1,65,94,16,8,0,2,0
Corey Dickerson*,34,WSN,NL,50,152,144,12,36,7,1,2,17,0,1,7,28,3,0,0,1,0
Brandon Dixon,31,SDP,NL,33,86,79,10,16,4,0,2,9,1,0,1,31,1,4,0,2,0
Jasson Domínguez#,20,NYY,AL,8,33,31,6,8,1,0,4,7,1,0,2,8,1,0,0,0,0
Josh Donaldson,37,TOT,MLB,50,189,165,18,25,5,0,13,26,0,0,22,50,6,0,0,2,0
Brendan Donovan*,26,STL,NL,95,371,327,48,93,10,1,11,34,5,1,33,53,4,9,1,1,2
Camilo Doval,25,SFG,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeter Downs,24,WSN,NL,6,9,5,4,2,0,0,0,1,2,0,4,1,0,0,0,0,0
Brenton Doyle,25,COL,NL,126,431,399,48,81,16,5,10,48,22,5,22,151,9,4,3,3,0
Hunter Dozier,31,KCR,AL,29,91,82,8,15,2,1,2,9,2,0,8,29,0,0,0,1,0
Brandon Drury,30,LAA,AL,125,523,485,61,127,30,3,26,83,0,2,25,136,14,8,0,5,0
Daniel Duarte,26,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauricio Dubón,28,HOU,AL,132,492,467,76,130,26,3,10,46,7,2,19,70,10,3,0,3,0
Matt Duffy,32,KCR,AL,78,209,191,17,48,8,0,2,16,1,0,12,39,4,4,0,2,0
Ezequiel Duran,24,TEX,AL,122,439,406,55,112,22,2,14,46,8,4,23,120,7,7,1,2,1
Jarren Duran*,26,BOS,AL,102,362,332,46,98,34,2,8,40,24,2,24,90,3,3,0,2,1
Adam Duvall,34,BOS,AL,92,353,320,45,79,24,2,21,58,4,0,22,110,0,6,0,5,1
Nate Eaton,26,KCR,AL,28,56,53,2,4,0,0,0,1,3,0,2,21,0,1,0,0,0
Cam Eden,25,TOR,AL,5,6,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Tommy Edman#,28,STL,NL,137,528,479,69,119,25,4,13,47,27,4,35,84,9,7,3,4,1
Xavier Edwards#,23,MIA,NL,30,84,78,12,23,3,0,0,3,5,0,3,14,1,1,2,0,0
Drew Ellis,27,PHI,NL,12,29,23,4,5,0,0,2,4,0,1,6,7,0,0,0,0,0
Christian Encarnacion-Strand,23,CIN,NL,63,241,222,29,60,7,0,13,37,2,0,14,69,5,5,0,0,0
Adam Engel,31,SDP,NL,5,6,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Eduardo Escobar#,34,TOT,MLB,99,309,288,32,65,6,5,6,31,2,1,18,78,7,0,1,2,0
Santiago Espinal,28,TOR,AL,93,254,230,30,57,14,0,2,25,2,1,18,36,5,3,2,1,1
Thairo Estrada,27,SFG,NL,120,530,495,63,134,26,2,14,49,23,7,22,120,10,11,0,2,1
Stuart Fairchild,27,CIN,NL,97,255,219,34,50,16,2,5,28,10,3,25,69,2,6,3,2,0
Buck Farmer*,32,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Farmer,32,MIN,AL,120,369,336,49,86,14,2,11,46,2,4,23,86,7,8,0,2,0
Caleb Ferguson,26,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddy Fermin,28,KCR,AL,70,235,217,26,61,10,1,9,32,0,0,13,50,11,1,1,3,0
José Fermín,24,STL,NL,21,61,51,2,12,1,0,0,4,0,1,6,8,1,2,2,0,0
Tyler Fitzgerald,25,SFG,NL,10,34,32,3,7,2,0,2,5,2,0,2,10,0,0,0,0,0
David Fletcher,29,LAA,AL,33,97,89,7,22,1,0,2,12,0,0,7,9,2,0,1,0,1
Dominic Fletcher*,25,ARI,NL,28,102,93,10,28,5,1,2,14,0,2,7,22,0,0,2,0,1
Wilmer Flores,31,SFG,NL,126,454,405,51,115,22,0,23,60,0,0,41,63,13,5,0,3,1
Estevan Florial*,25,NYY,AL,19,71,61,5,14,3,1,0,8,3,0,7,20,0,2,0,1,0
Mike Ford*,30,SEA,AL,83,251,219,32,50,6,0,16,34,0,0,24,81,4,7,0,1,0
Nick Fortes,26,MIA,NL,108,323,294,33,60,10,0,6,26,4,2,17,59,12,7,3,2,0
Jake Fraley*,28,CIN,NL,111,380,336,41,86,18,0,15,65,21,5,37,71,5,6,0,1,2
Ty France,28,SEA,AL,158,665,587,79,147,32,0,12,58,1,0,43,117,25,34,0,1,0
Wander Franco#,22,TBR,AL,112,491,442,65,124,23,6,17,58,30,10,42,69,18,3,0,4,3
Adam Frazier*,31,BAL,AL,141,455,412,59,99,21,2,13,60,11,4,32,68,4,4,4,2,0
Clint Frazier,28,CHW,AL,33,76,66,10,13,1,1,0,3,4,2,10,23,0,0,0,0,0
Freddie Freeman*,33,LAD,NL,161,730,637,131,211,59,2,29,102,23,1,72,121,14,16,0,5,12
Tyler Freeman,24,CLE,AL,64,168,153,20,37,7,0,4,18,5,0,10,30,3,2,2,1,0
Sal Frelick*,23,MIL,NL,57,223,191,29,47,9,1,3,24,7,0,28,37,2,1,0,3,0
Luis Frías,25,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ Friedl*,27,CIN,NL,138,556,488,73,136,22,8,18,66,27,6,47,90,0,10,8,3,1
David Fry,27,CLE,AL,57,113,101,12,24,6,0,4,15,2,0,8,30,3,4,0,0,0
Shintaro Fujinami,29,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Fulmer,30,CHC,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cam Gallagher,30,CLE,AL,56,149,143,6,18,6,0,0,7,0,0,4,46,3,1,0,1,0
Joey Gallo*,29,MIN,AL,111,332,282,39,50,9,1,21,40,1,1,48,142,3,2,0,0,1
Ben Gamel*,31,SDP,NL,6,15,15,2,3,1,0,0,2,0,0,0,2,0,0,0,0,0
Adolis García,30,TEX,AL,148,632,555,108,136,29,0,39,107,9,1,65,175,12,6,0,6,0
Avisaíl García,32,MIA,NL,37,118,108,8,20,3,1,3,12,2,0,6,39,1,2,0,0,1
Luis García*,23,WSN,NL,122,482,447,61,119,18,4,9,50,9,4,27,60,10,0,1,7,1
Maikel García,23,KCR,AL,123,515,464,59,126,20,4,4,50,23,7,38,115,9,2,1,10,0
Kyle Garlick,31,MIN,AL,14,30,28,2,5,1,0,2,4,0,0,2,11,0,0,0,0,0
Stone Garrett,27,WSN,NL,89,271,234,40,63,17,0,9,40,3,1,26,82,6,3,0,5,0
Mitch Garver,32,TEX,AL,87,344,296,45,80,11,0,19,50,0,0,44,82,6,3,0,0,1
Zack Gelof,23,OAK,AL,69,300,270,40,72,20,1,14,32,14,2,26,82,5,3,0,1,1
Ian Gibaut,29,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Gibson,35,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Gillaspie,26,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrés Giménez*,24,CLE,AL,153,616,557,76,140,27,5,15,62,30,6,32,112,10,20,4,3,3
Kevin Ginkel*,29,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Goldschmidt,35,STL,NL,154,687,593,89,159,31,0,25,80,11,2,87,161,12,3,0,3,6
Yan Gomes,35,CHC,NL,116,419,382,44,102,20,2,10,63,1,0,21,81,9,9,0,7,1
Nick Gonzales,24,PIT,NL,35,128,115,12,24,8,1,2,13,0,1,6,36,0,4,1,2,0
Oscar González,25,CLE,AL,54,180,173,15,37,7,2,2,12,0,0,5,46,2,1,0,1,0
Romy Gonzalez,26,CHW,AL,44,97,93,11,18,4,2,3,14,7,0,2,36,0,0,1,1,0
Victor González*,27,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Goodman,23,COL,NL,23,77,70,6,14,4,3,1,17,1,0,5,24,2,0,0,2,0
Nick Gordon*,27,MIN,AL,34,93,91,13,16,5,1,2,7,0,0,1,11,1,0,1,0,0
Nolan Gorman*,23,STL,NL,119,464,406,59,96,17,0,27,76,7,2,53,148,5,3,0,2,1
Yasmani Grandal#,34,CHW,AL,118,405,363,33,85,14,0,8,33,0,0,36,86,11,4,0,2,1
Brusdar Graterol,24,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Graveman,32,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
